Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
-6.539178505,0.94801375,1.259177455,0.763472442,0.12873497,0.410221622,0.420988743,-0.101123201,-1.242581494,0.029933439,-0.40643242,0.950277123,-0.105319332,0.461079086,-0.353092521,-0.363414204,-0.744521779,-0.196764187,0.893692459,-1.399923502,-0.112190686,-0.698923277,-0.693262262,-0.021330453,-0.747880526,0.225846403,-0.209697845,-0.122319071,1.020037408,-1.82165742,0.84834193,-0.292441045,0.312092632,-0.502434519,0.643452721,0.228309289,-2.020874531,-1.165113876,-1.501835818,-1.320128655,0.520465616,-0.859281762,-1.645036051,-0.247500113,1.37237443,-0.212618128,-1.368045803,-1.740719076,0.925212087,0.123907039,-1.020762766
2.036507694,0.019660524,-1.951131211,-1.097787229,0.919061424,-0.069718878,0.405041869,1.808955351,-0.343012905,1.465924236,0.459250241,-0.154956394,1.329802055,-2.449727722,1.315467685,0.313517198,-0.006783791,-0.369713714,2.023332125,-0.642734113,1.733208323,-0.501985639,-1.165547701,0.582382384,2.006597626,1.300214465,-0.375185509,0.656073694,-0.701889305,-1.458103738,1.076431765,-0.435142199,-0.037323357,-0.083486865,1.142937102,-0.884289964,-0.297891461,-1.876537001,-2.451593542,-0.51022002,2.879152846,-1.80912805,0.381090569,0.49753359,0.632532308,-1.429868001,-2.092106384,0.499215927,1.026406604,-0.763638954,-0.405548332
7.295433471,0.283018608,1.127620181,1.45815361,0.227843511,-2.003858566,-1.775359258,-2.4807772,0.506680424,0.852821701,-0.725848235,1.067518861,-1.436985329,0.403777209,0.896723806,0.178759311,2.558905984,0.428563768,0.683628912,0.777752763,1.958148675,2.236276145,-0.67203612,0.091320559,0.302181813,-0.654568612,-1.585305731,-0.41387806,1.059712923,0.582254659,-0.638100621,1.338972411,-1.80866008,-1.250080513,-0.21294556,0.902645831,1.291077221,-0.039622983,2.52487069,0.555786968,-0.247917324,0.091664094,0.655663641,-0.191964676,1.194054705,0.326962382,0.399150942,0.723068526,0.939017494,-1.132469364,0.212291988
6.82540528,0.84564129,-0.921489073,-1.368600514,2.085195004,-0.294420462,1.029018071,0.098418032,-0.677590582,-1.276766654,1.99057337,0.95773009,0.185157368,-0.889489715,0.150082363,0.690553341,-0.884538242,-0.221782557,0.649433591,-0.660502052,1.33503458,1.523437082,-0.805584845,0.517016931,1.430207716,-0.776591321,-1.616998235,-0.267467401,1.378596943,-1.467488714,-0.608964466,-1.260778352,-1.280623506,-1.40287711,-2.23072366,0.706875988,0.025443389,1.083447327,1.229396001,0.85698724,-0.110930044,-0.280935107,-0.523440161,-0.230027502,1.939640323,-0.429125313,0.701319175,-1.008541248,1.055334166,-0.782659232,0.749695391
-0.176432405,0.566670094,0.667277456,-0.248455229,1.361258259,0.0413261,0.14915455,-0.271542877,0.229179092,0.089760031,0.317225035,0.372909485,-0.225498212,-0.47265781,0.008365971,0.905160373,0.057437094,-0.123726095,-0.427297615,-0.454104784,1.706435081,0.595277196,-1.083117203,0.749376473,0.146799725,-0.903517863,-1.060460829,0.078992784,0.189055883,-0.099306294,-0.643707288,0.648972257,0.303974438,1.036641192,0.260695255,-0.482418451,0.835154485,0.580978939,0.50496897,0.27572345,-0.213911598,-0.728898409,-0.124472761,-0.842829049,-0.132558452,-0.236122058,-0.751535056,0.191008763,0.007180126,-0.350857652,0.384321073
5.616513974,-1.559618276,-1.389685157,-0.784750157,-0.780503616,-0.287929501,-0.944366058,-0.013640921,1.112626146,-0.314627348,-0.266664836,-1.178667118,0.3471155,-0.733618747,0.344360764,0.195266623,0.139018355,0.729480554,-0.593267741,0.888624784,-0.181648196,1.861064141,-0.195196951,0.47868415,-0.957678712,0.491436472,0.372105335,0.651999962,0.913562087,1.72531242,-0.550736837,0.358121128,0.747136393,-0.675123902,-0.568604101,0.876996133,1.488641271,-0.025908127,0.272942976,1.748572683,0.5104036,0.867309183,-0.138886582,-0.354145269,0.204000177,0.418216943,-1.157086273,0.476157301,-1.000562771,-1.524607638,2.859110185
-2.990300853,0.499774804,-1.107913695,-0.057709364,-0.947104649,0.277974958,1.920585535,0.987385508,-0.74697925,-1.57093808,0.455285454,-1.096134318,0.247499806,0.004054519,-0.84708742,-1.678676901,-1.488936198,0.004697423,0.639038889,0.133312926,-1.585175208,1.252508551,-0.425124073,-0.469343223,0.145559508,1.737831756,-1.233167929,-0.310371881,-0.471609412,-1.112031235,-1.284183283,-1.112461712,-0.5064252,-0.547158675,-1.311785829,1.494451655,-0.021780274,0.940071634,0.219870345,1.369485962,-0.365922691,0.000136331,0.510264588,0.021361296,-0.341590796,0.15357431,-0.21257373,-0.93830205,0.066543192,0.6838424,0.072093813
-0.380150491,-2.35311516,-0.849596549,-0.617107674,-1.845513903,0.517621735,-1.525717403,-0.040299695,1.610977004,0.847761808,-1.203297806,-0.429362219,0.89637926,0.688487346,2.005764144,-1.855403341,1.453445905,0.689389195,-0.1180597,0.434900436,-1.268163494,0.303271768,-0.674622994,-1.190644432,0.549040801,-0.513362438,-0.630235723,1.458568273,-1.034020317,1.289895852,1.127088587,0.231799395,-1.273660135,-0.516100833,1.764342215,0.521829127,0.819554139,0.826354866,-0.188624284,-0.655820154,-1.54555979,-0.044484597,0.424349656,-1.150918887,-0.175775057,-0.138624091,0.228710287,0.30844017,-0.159492488,-0.638970688,1.734856134
8.377156477,-0.830368257,-1.294106606,-1.355332152,-0.315789747,1.150750624,0.399345302,1.236941482,0.164485025,1.026925319,0.309719971,0.229788459,1.413189548,0.792780027,0.988068468,-0.551488038,-0.086454781,-0.258194107,0.020406357,-1.213071897,0.726200775,-1.17776114,0.529474625,1.956088196,-1.20699908,-0.4970893,1.232766903,-0.012545136,0.22563643,0.807210189,0.435414383,-1.116152851,0.258137729,1.399962131,1.199738746,2.412468931,0.611004398,-1.541013852,1.163906154,1.072830578,0.620991099,-0.070495372,0.402732759,0.293735806,-0.775836461,-0.460866856,-0.037624122,-0.689787715,0.600706303,1.789175311,0.034360295
-7.946394802,0.58500221,-2.135511416,-0.916212305,-0.508945924,0.127534602,2.100887495,0.334733759,-1.668304148,-2.753365887,-1.560921747,-1.108403878,1.793099374,-1.512590634,-1.129909477,-2.67471935,-1.189068682,-0.257914046,0.359707878,0.218695062,-0.757187605,-0.742913998,-0.005974365,0.019139938,0.129744948,-0.964302689,-1.744421016,1.392457308,1.203886346,-1.939744418,0.971427763,-0.599841752,1.148959333,0.021135564,-0.64690643,1.018987159,0.323913389,-0.377179041,-0.576111491,-0.651804486,-0.504937982,2.374176241,-1.473932937,-1.316262644,2.42456269,0.381479413,-0.233851318,-0.00745981,1.653749857,-0.678859393,-1.327652978
